Date,Underlying,kappa,theta,sigma,rho,v0,rmse_volpts,feller,lambda1,lambda2,lambda3,lambda4,lambda5,condition_number,ev1_kappa,ev1_theta,ev1_sigma,ev1_rho,ev1_v0,ev5_kappa,ev5_theta,ev5_sigma,ev5_rho,ev5_v0
2006-02-01,CL1,0.21415131592207906,0.001,0.2391886934415702,0.9857178378727671,0.04723064177603305,1.972993587847319,False,11.694420689174166,0.1335577926256874,0.007844166497618578,0.0032339645437979873,0.00015645918395456378,74744.22653623363,-0.015825574062581785,0.10444980201301701,-0.03884928559604984,-0.0032475827090920227,0.9936397618253082,-0.9768082291961857,-0.12579793523907165,0.006005048559175137,-0.17313982912609932,-0.002664925174374489
2006-03-01,CL1,0.6101069740456888,0.0034652184420828494,0.26766084739494717,0.999,0.05118618475355435,1.538073001467085,False,9.876924270141913,0.8478037685350676,0.009885465870924847,0.0038882636098989394,9.602039584807015e-05,102862.77392325937,0.011672079671698615,-0.2968055767218877,0.0415558431077652,0.011848996799079923,-0.9538883191240913,0.98690298624955,0.03227509393786959,-0.008613598056300686,0.1577768322213503,0.003618174366017512
2006-03-31,CL1,0.6106039467787986,0.001,0.27292126032907815,0.999,0.04671932948032415,1.917341265119144,False,10.879616680323863,0.9450511346384924,0.008412607925764586,0.0004766225129992414,6.168721259613195e-05,176367.45481681987,0.011031466979442212,-0.29902139508049563,0.04151443649258391,0.011048708037984608,-0.9532150804691406,0.7048594148221281,0.04061022405453375,-0.10064507678338333,0.7009949199058406,-0.0008401335126063735
2006-05-01,CL1,0.4266901899432865,0.001,0.27024158962450145,0.999,0.045838078706838335,2.0566543377695234,False,11.575088033609585,0.5564659074383812,0.02244423379722469,0.006976065400896304,0.0002715450443612103,42626.7695690751,0.01255186557117,-0.21752372920282137,0.04209278258437442,0.012855087700641888,-0.974981447145993,0.9965098110234581,0.04309800223063978,-0.002412879574239926,0.07133396375674977,0.004049983287665141
2006-06-01,CL1,0.7038452300672706,0.001,0.28456858455155876,0.999,0.04437032453583476,2.110635414345235,False,11.271667605023252,1.249605150713314,0.008867555358836923,0.00502358145371529,0.00019583223368187605,57557.77480092352,0.009241642820599595,-0.34070926312527783,0.04053783416041502,0.014036526414225856,-0.9391439985361206,0.9968712051805804,0.018567711896439063,0.004075963137682136,0.07659710568693656,0.004394346553501287
2006-06-30,CL1,0.3722899905788761,0.001,0.2466243045780541,0.999,0.03681079064878943,2.9751459089057475,False,14.247088026002725,0.5433339615820583,0.01137013243366291,0.0006559119821737697,-0.02450657241955732,581.3578407494034,0.010100384750175348,-0.19242336877675348,0.04141956941826014,0.006304357406095624,-0.9803651889594031,0.01674033679486255,-0.0746333942001014,-0.09016415371065223,-0.992974641378713,0.004626506092509093
2006-08-01,CL1,0.5149128790890658,0.001,0.28465564533410725,0.999,0.04031051677393506,2.853078190537259,False,12.581568110087229,0.7939768352272194,0.010419482078295727,0.00038993734246605023,-0.007641191260560737,1646.5453724507283,0.00921021523839221,-0.2465877764361104,0.041076214551270016,0.012280085204040862,-0.968127876136762,0.021130477345830408,-0.06373626715502602,0.028567876915342235,-0.9973214628836786,0.004996724566245307
2006-09-01,CL1,0.5133828813672857,0.001,0.271175020321851,0.999,0.037637111817286587,2.861983896964284,False,13.426799757746565,0.8515125451823644,0.01141805980720331,0.00039676809498249966,-0.01651573952456508,812.96993923741,0.00853931840935515,-0.24968542442293895,0.04157557174672776,0.012313584271714795,-0.9673180016665445,0.030504116866264173,-0.05715014526637789,0.02092773290701174,-0.9976748060499899,0.0032204221351478856
2006-10-02,CL1,1.3487123025224261,0.001,0.30129603155494694,0.999,0.04945882789440595,1.9284362954785874,False,10.394798046015154,2.3044170665015504,0.0065246529735484065,0.0005622877553281971,0.00011157762965560103,93162.02609878036,-0.007075268975971988,0.5989388212445533,-0.03694683540943503,-0.012165866873388258,0.7998181993500456,0.9982001459342605,0.006338694346566464,-0.0007756971781932087,0.05942365050834476,0.004951531576351513
2006-11-01,CL1,1.350959286013877,0.001,0.3194561532390946,0.999,0.04718170878525216,2.3492798444990455,False,10.531486407286955,2.3042000732551973,0.007009219827931754,0.0024565937164579997,0.0001119664681773804,94059.28916684842,0.006351378585104459,-0.5791549526843621,0.036627454468108084,0.01394955079137677,-0.8142499864188817,0.9998649702658663,0.004671399781895989,0.014882542986146687,0.0004169385405575339,0.005153186959064419
2006-12-01,CL1,0.7382355039749763,0.001,0.2701400103233645,0.999,0.03883082601838515,2.944972041471674,False,12.564029212352313,1.4038096211610354,0.01023707237224608,0.0004925451779206382,-0.005051589348627105,2487.143816582577,-0.00755916880122017,0.34956447325535167,-0.04128363265171612,-0.012646397480730832,0.9358863543778063,0.15447646853817923,-0.032647769895824644,0.0534003069931901,-0.9860088390548518,0.0024739255321504076
2007-01-03,CL1,0.818581263458029,0.001,0.2995130289888098,0.999,0.052264246970197534,2.261256427830525,False,9.701594135738432,1.2311313055847164,0.008914686680864682,0.00046823356177177545,-0.0010212904870141074,9499.348382361286,-0.010850532929683132,0.3819298517457198,-0.04164700805990849,-0.010934010338499547,0.9231239507337082,0.24541929750829927,-0.024447816080450713,0.07165737920768528,-0.9664439936996165,0.004785367953585843
