Date,Underlying,kappa,theta,sigma,rho,v0,lam,mu_j,sigma_j,rmse_volpts,feller,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,condition_number,ev1_kappa,ev1_theta,ev1_sigma,ev1_rho,ev1_v0,ev1_lam,ev1_mu_j,ev1_sigma_j,ev8_kappa,ev8_theta,ev8_sigma,ev8_rho,ev8_v0,ev8_lam,ev8_mu_j,ev8_sigma_j
2006-02-01,CL1,9.962399829866168,0.14144445902275588,0.5679325736097304,0.999,0.0020051086392928854,2.613230100770163,-1.0779746393618042,1.3281589795245636,0.5471823721168663,True,13.491307639405989,0.8800673812592438,0.15373269008324686,0.0013374945422168385,2.4571953193486255e-05,3.166676684426231e-06,-1.760667763052001e-05,-0.00011169214768939785,4260399.460973224,-0.00188969523400861,-0.17449128540658998,0.004311648506794721,0.002248981197318687,-0.3526183476862852,0.024104454584142253,0.5500541470306608,0.7362372468290195,0.06954636321985268,-0.487871698043622,0.0006727511821336593,0.17818348448942467,0.2364621571362975,0.8176936703036606,-0.0003159293633761923,-0.02927990519784049
2006-03-01,CL1,9.962407320454163,0.1421378230482837,0.5679175804144992,0.9989925155185225,0.00341486569666633,2.613137445134373,-1.080071206417959,1.3253865594148535,0.7746186437373247,True,59162358.83491096,29725161.12367405,2091211.525648937,595749.3743665906,332208.7592070917,186010.08407342507,67575.72515297183,6117.092661509168,9671.64666430193,9.366656299983559e-05,0.02005634014410007,0.0001427896314132846,0.00010983384241388506,-0.9997988305657892,1.6247096524331048e-05,1.0645271986548303e-05,4.029557827474451e-06,0.9999999478524428,0.000230452702465236,5.7310468868875866e-05,0.00017840472022373708,9.83375805139318e-05,7.89961789715328e-05,1.0360247771613482e-05,7.477873100292735e-06
2006-03-31,CL1,9.952252931323482,0.15289219670818446,0.01,0.6313036123408553,0.027765080556650206,0.6003225999261547,-1.3132746373969086,1.5166319092333143,0.17757161473846617,True,573000969.0899788,119216332.18967591,87466001.92687854,1.4080374452306592,0.0005964988800497978,4.9736833749534016e-08,-3.4905028639531825e-06,-0.756535219515341,1.1520656340439992e+16,-2.0476178138951055e-07,-2.8027837281396906e-05,-5.551155827358799e-07,-8.808413057355598e-09,-2.6736930237730263e-05,0.9999997666295595,-0.0005362120571486066,-0.00042156456606926495,-0.0055068129423695615,-0.9991884744561125,-0.03533234605320471,-0.0005575862629031767,-0.018530299878512197,-2.858524570775928e-05,-6.262219666577099e-05,-7.206231084659051e-05
2006-05-01,CL1,1.1399822228424394,0.001,0.2686280658906555,0.999,0.07469246575160157,0.01,0.002689391823031563,0.028706773228522744,0.669269873315496,False,6.690139410161862,1.280413600921257,0.005745609760584136,0.00029801982768308505,0.00019223994596702826,9.555520332532708e-05,8.848435934724477e-05,-0.000227516817134628,75608.15786558758,-0.014197217819208676,0.4928813203590481,-0.04051442570571471,-0.008100479454919854,0.8689979453055139,0.0011510822030081388,0.00013355706598791275,0.0007967538641264675,-0.00017190394746298898,0.0002245707758326351,-0.0017040380544980282,0.004756752577694379,0.00021836388664011493,-0.7509974907742148,0.047534158661029,0.6585724064251832
2006-06-01,CL1,1.793264066755116,0.0010851969476713375,0.28039267382257405,0.999,0.07642681445415975,0.01,0.00508776587924114,0.012108580296554466,1.0254441482620595,False,7.240924584848397,1.833115887217233,0.00526165945536924,0.0002181897667785613,0.00015279240878823653,0.00013698814548233592,7.123729065481158e-05,-0.00011601084418531378,101645.1428499032,-0.009932319129254416,0.710338158129437,-0.03567598399930719,-0.00838353197394087,0.7028355099151232,0.0002642824955662951,0.00016791393651149512,0.00037237258092602315,-0.00045492413348316874,-3.059249211028363e-05,0.00013685977256459595,-0.00040969687899934036,-1.7372257560840672e-05,-0.8033894504810887,0.234988885005369,0.5471245013740788
2006-06-30,CL1,0.9737216277673211,0.001,0.2689461080502776,0.999,0.0612654691920567,0.01,0.0015554360657312634,0.01,1.0190537647738318,False,8.203689230666102,1.3393624214247044,0.007612746388376094,0.0004604997960737343,0.0003487016289420487,0.0002987835411676746,0.00025957370522505633,-0.0001942534192600887,31604.469426336214,-0.012056533555982863,0.4388071594008519,-0.042617154928718315,-0.010204242592845572,0.8974310360814776,0.00014349008672904216,6.12296734194036e-05,0.00028202004375404765,0.0005929516198047363,3.420148898448611e-05,-4.323975611027708e-06,-0.000530779872846975,2.746824125514367e-05,0.8362356461165118,-0.09272133378357049,-0.5404739245917934
2006-08-01,CL1,1.209116717450655,0.001,0.3227272909549494,0.999,0.06717663264636083,0.01,0.00044124297592207156,0.01,0.9582448672683952,False,7.585014134291118,1.5450580910872715,0.007024412492932854,0.0014329894862479258,0.00041349663482800506,0.00021202095853184116,0.0001637819963458027,-0.00013016030012136644,46311.64782163496,-0.010899601269672652,0.5204071196775023,-0.04234368515434363,-0.013038082713822615,0.8526983700682481,0.00016612966202260592,2.8428620705628388e-06,0.00033359201240001164,0.0012532782743144807,4.485673614559127e-05,-0.00046895590690932705,0.001151874924162814,9.280619666014035e-06,0.8662088108647489,-0.03687966326733193,-0.4983162318020475
2006-09-01,CL1,1.2080007343050292,0.001,0.3199646164734756,0.999,0.06391311693262583,0.01,0.0004370328864144175,0.01,1.0998056855301106,False,7.960645352815579,1.609964305925862,0.006856509849425542,0.0005876875306581739,0.0005132284528079361,0.00033270917109236016,0.0001637771639520017,-0.00019890184376159914,48606.56492469616,-0.010288819315345202,0.5227108092482405,-0.042168984209236544,-0.012339834568298952,0.8513148257241029,0.0001526703507879143,8.160391613939981e-06,0.0003153937955343308,-0.0012359378410277306,-2.229005781628732e-05,-0.0007554871248283659,0.0028447069685049236,-3.170360792745517e-05,-0.8604234385926639,0.04086917896727724,0.5079281685121161
2006-10-02,CL1,3.010122081984916,0.001,0.2724024440647294,0.999,0.0890730923424936,0.01,0.001402305542239712,0.01,1.2283087199711522,False,8.33649042939761,1.7589323927431573,0.004157739595226454,0.00032140667511058765,0.00020122626303637243,8.991502810332995e-05,3.901968536714348e-05,-0.00012648511612592902,213648.32522246198,-0.006471331954232238,0.8878067564775791,-0.02402764409255063,-0.005244455318780522,0.45951316867926095,0.0001427623804181963,4.5886743412477235e-05,0.0002799052066153633,0.000186518495204053,-2.5000453467923132e-05,5.555500914201906e-05,-0.0004747792448879639,-1.8648128890500484e-05,-0.8453746885087265,0.0804947725585735,0.5280738237745762
2006-11-01,CL1,3.390042890892611,0.001,0.3173846973223157,0.999,0.08910951813089477,0.01,-0.0034225655292727066,0.01,1.7447885510770162,False,9.561055701601438,1.7610140950189472,0.00391645969064964,0.000638491946402296,0.000320268376002378,0.00016234911962132733,2.85287133153467e-05,-0.00024171700816214003,335137.99223669077,-0.004968160924546461,0.9164657273153064,-0.023726580396238938,-0.006821388414094826,0.3993197909937059,0.0001569115794970721,-8.752014503832396e-05,0.00027984992664813695,-0.00018057950997500303,1.804658751658609e-05,-6.202032918865013e-05,0.00043822899976739954,1.2874888461264175e-05,0.8500119588389257,0.1651306930330427,-0.5002112504309153
